Dataset Index,Dataset,Dataset Version,Model,Feature Engineering Description,Hyperparameter Description,f1_macro,Train-Test Gap,# Columns,Model Complexity,Fit Time,Best Hyperparameters
82,balance-scale,2,ikNN,,,0.9479270315091212,0.030592071801140097,4,0,61.8,"{'method': 'use proba', 'n_neighbors': 16, 'num_best_spaces': 8, 'weight_by_score': True}"
83,hypothyroid,2,kNN,,,0.8358123569794049,0.12277630335645773,76,0,1.83,{'n_neighbors': 2}
83,hypothyroid,2,ikNN,,,0.9225334757249651,0.009943841938615638,76,0,4941.21,"{'method': 'simple majority', 'n_neighbors': 8, 'num_best_spaces': 2, 'weight_by_score': True}"
84,vowel,3,kNN,,,1.0,0.0,29,0,0.55,{'n_neighbors': 2}
84,vowel,3,ikNN,,,0.958438076085135,0.028064716126988243,29,0,690.1,"{'method': 'use proba', 'n_neighbors': 2, 'num_best_spaces': 2, 'weight_by_score': True}"
85,ada_prior,1,kNN,,,0.5596840495350444,0.09039613992977791,70,0,1.93,{'n_neighbors': 4}
85,ada_prior,1,ikNN,,,0.7211492878784755,0.014472323950335708,70,0,5146.62,"{'method': 'simple majority', 'n_neighbors': 16, 'num_best_spaces': 2, 'weight_by_score': True}"
86,pc4,1,kNN,,,0.4568452380952381,0.21331565515613976,37,0,0.66,{'n_neighbors': 2}
86,pc4,1,ikNN,,,0.6466761216541725,0.058208736649028814,37,0,916.62,"{'method': 'use proba', 'n_neighbors': 8, 'num_best_spaces': 2, 'weight_by_score': True}"
87,pc3,1,kNN,,,0.5318929754712253,0.1219247767071826,37,0,0.67,{'n_neighbors': 2}
87,pc3,1,ikNN,,,0.5183542744518355,0.19473768586272155,37,0,953.2,"{'method': 'use proba', 'n_neighbors': 4, 'num_best_spaces': 2, 'weight_by_score': True}"
